URI	instances	micro-precision	micro-recall	micro-F1
http://aksw.org/notInWiki/Chinese_Association_for_Protecting_the_Diaoyutais	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Grand_Cathay	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Woodward_Industrial_Foundation	1	1.0	1.0	1.0
http://dbpedia.org/resource/Bruno_Ferrante	1	1.0	1.0	1.0
http://dbpedia.org/resource/Lance_Armstrong	1	1.0	1.0	1.0
http://dbpedia.org/resource/Boston_Red_Sox	6	0.5	0.16666666666666666	0.25
http://aksw.org/notInWiki/Marianne_Bordt	1	0.3333333333333333	1.0	0.5
http://aksw.org/notInWiki/Tom_Lovejoy	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Detroit_Federation_of_Teachers	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Andrew_Nickelhoff	2	1.0	0.5	0.6666666666666666
http://dbpedia.org/resource/Julius_Genachowski	2	1.0	0.5	0.6666666666666666
http://dbpedia.org/resource/Maryland_State_Police	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Hooker_Furniture	1	1.0	1.0	1.0
http://dbpedia.org/resource/Marshall_University	3	0.5	0.3333333333333333	0.4
http://dbpedia.org/resource/General_Motors_Canada	1	1.0	1.0	1.0
http://aksw.org/notInWiki/John_Holahan	1	0.3333333333333333	1.0	0.5
http://dbpedia.org/resource/Los_Angeles_Lakers	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Bart_Ney	1	1.0	1.0	1.0
http://dbpedia.org/resource/CEGEP	1	1.0	1.0	1.0
http://dbpedia.org/resource/San_Francisco_%E2%80%93_Oakland_Bay_Bridge	1	1.0	1.0	1.0
http://dbpedia.org/resource/Fox	1	1.0	1.0	1.0
http://dbpedia.org/resource/Ireland,_West_Virginia	1	1.0	1.0	1.0
http://dbpedia.org/resource/Bernard_Hinault	1	0.5	1.0	0.6666666666666666
http://aksw.org/notInWiki/Tigers	4	1.0	0.25	0.4
http://dbpedia.org/resource/Rockland,_Maine	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Angela_Chan	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Dawn_Benner	1	0.25	1.0	0.4
http://dbpedia.org/resource/Jonathan_Klein_(CNN)	1	1.0	1.0	1.0
http://dbpedia.org/resource/Bernard_Tomic	1	1.0	1.0	1.0
